id_torneio,nome_torneio,cidade_torneio,pais_torneio,continente_torneio,latitude_torneio,longitude_torneio,altitude_torneio,superficie_torneio,total_aces_torneio
2000-717,Orlando,Orlando,EUA,América do Norte,28.538383,-81.378927,27.87165642,Clay,285
2000-409,Atlanta,Atlanta,EUA,América do Norte,33.748995,-84.387982,308.6121521,Clay,210
2000-408,London,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Hard,390
2000-560,US Open,Nova Iorque,EUA,América do Norte,40.712775,-74.005973,4.262852192,Hard,2508
2000-568,St. Petersburg,São Petersburgo,EUA,América do Norte,59.9502805,30.2894237,3.737375259399414,Hard,359
2000-402,Memphis,Memphis,EUA,América do Norte,35.149534,-90.04898,72.96620178,Hard,573
2000-404,Indian Wells Masters,Indian Wells,EUA,América do Norte,33.717631,-116.340755,277.1852417,Hard,745
2000-407,Rotterdam,Rotterdam,Holanda,Europa,51.8820998,4.4848757,-0.519095242023468,Hard,438
2000-336,Hong Kong,Hong Kong,China,Ásia,22.319304,114.169361,2.659766674,Hard,312
2000-360,Casablanca,Casablanca,Marrocos,África,33.57311,-7.589843,50.53450012,Clay,129
2000-580,Australian Open,Melbourne,Austrália,Oceania,-37.813628,144.963058,8.406817436,Hard,2444
2000-807,Mexico City,Acapulco,México,América do Norte,23.634501,-102.552784,1999.349609,Clay,230
2000-337,Vienna,Viena,Austria,Europa,48.208174,16.373819,208.9177704,Hard,308
2000-440,s-Hertogenbosch,Rosmalen,Holanda,Europa,51.717149,5.36081,2.25545454,Grass,365
2000-339,Adelaide,Adelaide,Austrália,Oceania,-34.928499,138.600746,56.32033539,Hard,288
2000-433,Scottsdale,Scottsdale,EUA,América do Norte,33.49417,-111.926052,398.6959839,Hard,199
2000-438,Moscow,Moscou,Rússia,Europa,55.755826,37.6173,147.0406799,Carpet,408
2000-439,Umag,Umago,Croácia,Europa,45.437206,13.525721,3.575510502,Clay,180
2000-403,Miami Masters,Miami,EUA,América do Norte,25.7082748,-80.1611257,-0.5187706351280212,Hard,1002
2000-573,Mallorca,Maiorca,Espanha,Europa,39.695263,3.017571,76.75068665,Clay,256
2000-475,San Marino,San Marino,Italia,Europa,43.94236,12.457777,221.1880951,Clay,260
2000-773,Bucharest,Bucareste,Romenia,Europa,44.426767,26.102538,78.06578064,Clay,195
2000-375,Lyon,Lyon,França,Europa,4.835659,45.764043,217.6715393,Carpet,413
2000-500,Halle,Halle,Alemanha,Europa,51.49698,11.968803,81.90995026,Grass,516
2000-505,Santiago,Santiago,Chile,América do Sul,-33.44889,-70.669265,522.3574829,Clay,308
2000-73,Tashkent,Toshkent,Uzbequistão,Ásia,41.299496,69.240073,444.7503357,Hard,410
2000-306,St. Poelten,Sankt Pölten,Austria,Europa,48.20353,15.63817,296.2186279,Clay,203
2000-301,Auckland,Auckland,Nova Zelândia,Oceania,-36.850883,174.764488,11.14038277,Hard,302
2000-540,Wimbledon,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,2607
2000-423,Los Angeles,Los Angeles,EUA,América do Norte,34.052234,-118.243685,107.4480667,Hard,352
2000-422,Cincinnati Masters,Cincinnati,EUA,América do Norte,39.103118,-84.51202,251.0748596,Hard,827
2000-421,Canada Masters,Toronto,Canadá,América do Norte,43.653226,-79.383184,66.05884552,Hard,816
2000-425,Barcelona,Barcelona,Espanha,Europa,41.387397,2.168568,42.32268524,Clay,459
2000-424,San Jose,San Jose,EUA,América do Norte,37.338208,-121.886329,118.8428268,Hard,301
2000-429,Stockholm,Estocolmo,Suécia,Europa,59.329323,18.068581,38.17290115,Hard,300
2000-499,Delray Beach,Delray Beach,EUA,América do Norte,26.462489,-80.0776647,5.067657947540283,Hard,283
2000-496,Marseille,Marselha,França,Europa,43.296482,5.36978,40.33418655,Hard,409
2000-495,Dubai,Dubai,Emirados Árabes Unidos,Ásia,25.204849,55.270783,1.280532718,Hard,167
2000-468,Estoril,Estoril,Portugal,Europa,38.713315,-9.393656,3.778222322,Clay,126
